# Assembly name:  iqSchGreg1.2
# Organism name:  Schistocerca gregaria (desert locust)
# Isolate:  iqSchGreg1
# Sex:  male
# Taxid:          7010
# BioSample:      SAMN23383904
# BioProject:     PRJNA782545
# Submitter:      United States Department of Agriculture
# Date:           2022-06-24
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKZLS01
# Assembly method: HiFiASM v. 0.13-r308
# Expected final version: yes
# Genome coverage: 41x
# Sequencing technology: PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_023897955.2
# RefSeq assembly accession: GCF_023897955.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_023898265.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023898285.2	GCF_023898285.1	Primary Assembly
## GCA_023898335.1	GCF_023898335.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ptg001061l	unplaced-scaffold	na	na	JAKZLS010000712.1	=	NW_026062406.1	Primary Assembly	97572	na
ptg001062l	unplaced-scaffold	na	na	JAKZLS010000713.1	=	NW_026062407.1	Primary Assembly	99762	na
ptg001063l	unplaced-scaffold	na	na	JAKZLS010000714.1	=	NW_026062408.1	Primary Assembly	89003	na
ptg001064l	unplaced-scaffold	na	na	JAKZLS010000715.1	=	NW_026062409.1	Primary Assembly	77823	na
ptg001065l	unplaced-scaffold	na	na	JAKZLS010000716.1	=	NW_026062410.1	Primary Assembly	78447	na
ptg001066l	unplaced-scaffold	na	na	JAKZLS010000717.1	=	NW_026062411.1	Primary Assembly	19134	na
ptg001067l	unplaced-scaffold	na	na	JAKZLS010000718.1	=	NW_026062412.1	Primary Assembly	46399	na
ptg001068l	unplaced-scaffold	na	na	JAKZLS010000719.1	=	NW_026062413.1	Primary Assembly	69238	na
ptg001069l	unplaced-scaffold	na	na	JAKZLS010000720.1	=	NW_026062414.1	Primary Assembly	74044	na
ptg001071l	unplaced-scaffold	na	na	JAKZLS010000722.1	=	NW_026062415.1	Primary Assembly	31987	na
ptg001072l	unplaced-scaffold	na	na	JAKZLS010000723.1	=	NW_026062416.1	Primary Assembly	22043	na
ptg001073l	unplaced-scaffold	na	na	JAKZLS010000724.1	=	NW_026062417.1	Primary Assembly	44586	na
ptg001075l	unplaced-scaffold	na	na	JAKZLS010000726.1	=	NW_026062418.1	Primary Assembly	77083	na
ptg001077l	unplaced-scaffold	na	na	JAKZLS010000727.1	=	NW_026062419.1	Primary Assembly	119220	na
ptg001078l	unplaced-scaffold	na	na	JAKZLS010000728.1	=	NW_026062420.1	Primary Assembly	23191	na
ptg001079l	unplaced-scaffold	na	na	JAKZLS010000729.1	=	NW_026062421.1	Primary Assembly	35549	na
ptg001080l	unplaced-scaffold	na	na	JAKZLS010000730.1	=	NW_026062422.1	Primary Assembly	28395	na
ptg001081l	unplaced-scaffold	na	na	JAKZLS010000731.1	=	NW_026062423.1	Primary Assembly	45144	na
ptg001082l	unplaced-scaffold	na	na	JAKZLS010000732.1	=	NW_026062424.1	Primary Assembly	74558	na
ptg001083l	unplaced-scaffold	na	na	JAKZLS010000733.1	=	NW_026062425.1	Primary Assembly	82666	na
ptg001084l	unplaced-scaffold	na	na	JAKZLS010000734.1	=	NW_026062426.1	Primary Assembly	71099	na
ptg001085l	unplaced-scaffold	na	na	JAKZLS010000735.1	=	NW_026062427.1	Primary Assembly	57765	na
ptg001086l	unplaced-scaffold	na	na	JAKZLS010000736.1	=	NW_026062428.1	Primary Assembly	31048	na
ptg001087l	unplaced-scaffold	na	na	JAKZLS010000737.1	=	NW_026062429.1	Primary Assembly	61147	na
ptg001088l	unplaced-scaffold	na	na	JAKZLS010000738.1	=	NW_026062430.1	Primary Assembly	28311	na
ptg001089l	unplaced-scaffold	na	na	JAKZLS010000739.1	=	NW_026062431.1	Primary Assembly	125302	na
ptg001090l	unplaced-scaffold	na	na	JAKZLS010000740.1	=	NW_026062432.1	Primary Assembly	68380	na
ptg001091l	unplaced-scaffold	na	na	JAKZLS010000741.1	=	NW_026062433.1	Primary Assembly	51641	na
ptg001092l	unplaced-scaffold	na	na	JAKZLS010000742.1	=	NW_026062434.1	Primary Assembly	60703	na
ptg001093l	unplaced-scaffold	na	na	JAKZLS010000743.1	=	NW_026062435.1	Primary Assembly	101396	na
ptg001094l	unplaced-scaffold	na	na	JAKZLS010000744.1	=	NW_026062436.1	Primary Assembly	63825	na
ptg001095l	unplaced-scaffold	na	na	JAKZLS010000745.1	=	NW_026062437.1	Primary Assembly	58125	na
ptg001096l	unplaced-scaffold	na	na	JAKZLS010000746.1	=	NW_026062438.1	Primary Assembly	32814	na
ptg001097l	unplaced-scaffold	na	na	JAKZLS010000747.1	=	NW_026062439.1	Primary Assembly	84813	na
ptg001098l	unplaced-scaffold	na	na	JAKZLS010000748.1	=	NW_026062440.1	Primary Assembly	69166	na
ptg001099l	unplaced-scaffold	na	na	JAKZLS010000749.1	=	NW_026062441.1	Primary Assembly	23746	na
ptg001100l	unplaced-scaffold	na	na	JAKZLS010000750.1	=	NW_026062442.1	Primary Assembly	27239	na
ptg001102l	unplaced-scaffold	na	na	JAKZLS010000752.1	=	NW_026062443.1	Primary Assembly	33220	na
ptg001103l	unplaced-scaffold	na	na	JAKZLS010000753.1	=	NW_026062444.1	Primary Assembly	38020	na
ptg001104l	unplaced-scaffold	na	na	JAKZLS010000754.1	=	NW_026062445.1	Primary Assembly	57899	na
ptg001105l	unplaced-scaffold	na	na	JAKZLS010000755.1	=	NW_026062446.1	Primary Assembly	90367	na
ptg001109l	unplaced-scaffold	na	na	JAKZLS010000758.1	=	NW_026062447.1	Primary Assembly	81319	na
ptg001111l	unplaced-scaffold	na	na	JAKZLS010000760.1	=	NW_026062448.1	Primary Assembly	62645	na
ptg001113l	unplaced-scaffold	na	na	JAKZLS010000762.1	=	NW_026062449.1	Primary Assembly	35222	na
ptg001114l	unplaced-scaffold	na	na	JAKZLS010000763.1	=	NW_026062450.1	Primary Assembly	137434	na
ptg001116l	unplaced-scaffold	na	na	JAKZLS010000765.1	=	NW_026062451.1	Primary Assembly	23374	na
ptg001118l	unplaced-scaffold	na	na	JAKZLS010000767.1	=	NW_026062452.1	Primary Assembly	197188	na
ptg001119l	unplaced-scaffold	na	na	JAKZLS010000768.1	=	NW_026062453.1	Primary Assembly	120714	na
ptg001120l	unplaced-scaffold	na	na	JAKZLS010000769.1	=	NW_026062454.1	Primary Assembly	72434	na
ptg001121l	unplaced-scaffold	na	na	JAKZLS010000770.1	=	NW_026062455.1	Primary Assembly	33885	na
ptg001122l	unplaced-scaffold	na	na	JAKZLS010000771.1	=	NW_026062456.1	Primary Assembly	27754	na
ptg001123l	unplaced-scaffold	na	na	JAKZLS010000772.1	=	NW_026062457.1	Primary Assembly	39586	na
ptg001124l	unplaced-scaffold	na	na	JAKZLS010000773.1	=	NW_026062458.1	Primary Assembly	66554	na
ptg001126l	unplaced-scaffold	na	na	JAKZLS010000774.1	=	NW_026062459.1	Primary Assembly	52365	na
ptg001127l	unplaced-scaffold	na	na	JAKZLS010000775.1	=	NW_026062460.1	Primary Assembly	112012	na
ptg001128l	unplaced-scaffold	na	na	JAKZLS010000776.1	=	NW_026062461.1	Primary Assembly	33805	na
ptg001129l	unplaced-scaffold	na	na	JAKZLS010000777.1	=	NW_026062462.1	Primary Assembly	30216	na
ptg001130l	unplaced-scaffold	na	na	JAKZLS010000778.1	=	NW_026062463.1	Primary Assembly	65926	na
ptg001131l	unplaced-scaffold	na	na	JAKZLS010000779.1	=	NW_026062464.1	Primary Assembly	56260	na
ptg001132l	unplaced-scaffold	na	na	JAKZLS010000780.1	=	NW_026062465.1	Primary Assembly	20644	na
ptg001134l	unplaced-scaffold	na	na	JAKZLS010000782.1	=	NW_026062466.1	Primary Assembly	88056	na
ptg001135l	unplaced-scaffold	na	na	JAKZLS010000783.1	=	NW_026062467.1	Primary Assembly	74721	na
ptg001136l	unplaced-scaffold	na	na	JAKZLS010000784.1	=	NW_026062468.1	Primary Assembly	28299	na
ptg001137l	unplaced-scaffold	na	na	JAKZLS010000785.1	=	NW_026062469.1	Primary Assembly	77437	na
ptg001138l	unplaced-scaffold	na	na	JAKZLS010000786.1	=	NW_026062470.1	Primary Assembly	33418	na
ptg001139l	unplaced-scaffold	na	na	JAKZLS010000787.1	=	NW_026062471.1	Primary Assembly	62324	na
ptg001140l	unplaced-scaffold	na	na	JAKZLS010000788.1	=	NW_026062472.1	Primary Assembly	66804	na
ptg001141l	unplaced-scaffold	na	na	JAKZLS010000789.1	=	NW_026062473.1	Primary Assembly	51184	na
ptg001142l	unplaced-scaffold	na	na	JAKZLS010000790.1	=	NW_026062474.1	Primary Assembly	128224	na
ptg001143l	unplaced-scaffold	na	na	JAKZLS010000791.1	=	NW_026062475.1	Primary Assembly	70822	na
ptg001144l	unplaced-scaffold	na	na	JAKZLS010000792.1	=	NW_026062476.1	Primary Assembly	16372	na
ptg001145l	unplaced-scaffold	na	na	JAKZLS010000793.1	=	NW_026062477.1	Primary Assembly	40603	na
ptg001146l	unplaced-scaffold	na	na	JAKZLS010000794.1	=	NW_026062478.1	Primary Assembly	48733	na
ptg001147l	unplaced-scaffold	na	na	JAKZLS010000795.1	=	NW_026062479.1	Primary Assembly	27258	na
ptg001148l	unplaced-scaffold	na	na	JAKZLS010000796.1	=	NW_026062480.1	Primary Assembly	37250	na
ptg001149l	unplaced-scaffold	na	na	JAKZLS010000797.1	=	NW_026062481.1	Primary Assembly	81149	na
ptg001150l	unplaced-scaffold	na	na	JAKZLS010000798.1	=	NW_026062482.1	Primary Assembly	30579	na
ptg001151l	unplaced-scaffold	na	na	JAKZLS010000799.1	=	NW_026062483.1	Primary Assembly	53611	na
ptg001152l	unplaced-scaffold	na	na	JAKZLS010000800.1	=	NW_026062484.1	Primary Assembly	43437	na
ptg001153l	unplaced-scaffold	na	na	JAKZLS010000801.1	=	NW_026062485.1	Primary Assembly	165147	na
ptg001154l	unplaced-scaffold	na	na	JAKZLS010000802.1	=	NW_026062486.1	Primary Assembly	110258	na
ptg001155l	unplaced-scaffold	na	na	JAKZLS010000803.1	=	NW_026062487.1	Primary Assembly	60074	na
ptg001157l	unplaced-scaffold	na	na	JAKZLS010000805.1	=	NW_026062488.1	Primary Assembly	46991	na
ptg001158l	unplaced-scaffold	na	na	JAKZLS010000806.1	=	NW_026062489.1	Primary Assembly	55353	na
ptg001159l	unplaced-scaffold	na	na	JAKZLS010000807.1	=	NW_026062490.1	Primary Assembly	22827	na
ptg001160l	unplaced-scaffold	na	na	JAKZLS010000808.1	=	NW_026062491.1	Primary Assembly	78405	na
ptg001161l	unplaced-scaffold	na	na	JAKZLS010000809.1	=	NW_026062492.1	Primary Assembly	90243	na
ptg001162l	unplaced-scaffold	na	na	JAKZLS010000810.1	=	NW_026062493.1	Primary Assembly	35081	na
ptg001163l	unplaced-scaffold	na	na	JAKZLS010000811.1	=	NW_026062494.1	Primary Assembly	23389	na
ptg001164l	unplaced-scaffold	na	na	JAKZLS010000812.1	=	NW_026062495.1	Primary Assembly	24679	na
ptg001165l	unplaced-scaffold	na	na	JAKZLS010000813.1	=	NW_026062496.1	Primary Assembly	121150	na
ptg001166l	unplaced-scaffold	na	na	JAKZLS010000814.1	=	NW_026062497.1	Primary Assembly	45725	na
ptg001167l	unplaced-scaffold	na	na	JAKZLS010000815.1	=	NW_026062498.1	Primary Assembly	148276	na
ptg001168l	unplaced-scaffold	na	na	JAKZLS010000816.1	=	NW_026062499.1	Primary Assembly	28003	na
ptg001169l	unplaced-scaffold	na	na	JAKZLS010000817.1	=	NW_026062500.1	Primary Assembly	32589	na
ptg001171l	unplaced-scaffold	na	na	JAKZLS010000819.1	=	NW_026062501.1	Primary Assembly	127278	na
ptg001172l	unplaced-scaffold	na	na	JAKZLS010000820.1	=	NW_026062502.1	Primary Assembly	55135	na
ptg001173l	unplaced-scaffold	na	na	JAKZLS010000821.1	=	NW_026062503.1	Primary Assembly	101412	na
ptg001174l	unplaced-scaffold	na	na	JAKZLS010000822.1	=	NW_026062504.1	Primary Assembly	86701	na
ptg001175l	unplaced-scaffold	na	na	JAKZLS010000823.1	=	NW_026062505.1	Primary Assembly	50274	na
ptg001176l	unplaced-scaffold	na	na	JAKZLS010000824.1	=	NW_026062506.1	Primary Assembly	50098	na
ptg001177l	unplaced-scaffold	na	na	JAKZLS010000825.1	=	NW_026062507.1	Primary Assembly	49571	na
ptg001178l	unplaced-scaffold	na	na	JAKZLS010000826.1	=	NW_026062508.1	Primary Assembly	62974	na
ptg001180l	unplaced-scaffold	na	na	JAKZLS010000828.1	=	NW_026062509.1	Primary Assembly	22281	na
ptg001181l	unplaced-scaffold	na	na	JAKZLS010000829.1	=	NW_026062510.1	Primary Assembly	73451	na
ptg001182l	unplaced-scaffold	na	na	JAKZLS010000830.1	=	NW_026062511.1	Primary Assembly	26566	na
ptg001184l	unplaced-scaffold	na	na	JAKZLS010000832.1	=	NW_026062512.1	Primary Assembly	34624	na
ptg001185l	unplaced-scaffold	na	na	JAKZLS010000833.1	=	NW_026062513.1	Primary Assembly	37072	na
ptg001187l	unplaced-scaffold	na	na	JAKZLS010000835.1	=	NW_026062514.1	Primary Assembly	30258	na
ptg001188l	unplaced-scaffold	na	na	JAKZLS010000836.1	=	NW_026062515.1	Primary Assembly	107783	na
ptg001189l	unplaced-scaffold	na	na	JAKZLS010000837.1	=	NW_026062516.1	Primary Assembly	42693	na
ptg001190l	unplaced-scaffold	na	na	JAKZLS010000838.1	=	NW_026062517.1	Primary Assembly	103597	na
ptg001192l	unplaced-scaffold	na	na	JAKZLS010000840.1	=	NW_026062518.1	Primary Assembly	25190	na
ptg001193l	unplaced-scaffold	na	na	JAKZLS010000841.1	=	NW_026062519.1	Primary Assembly	111623	na
ptg001194l	unplaced-scaffold	na	na	JAKZLS010000842.1	=	NW_026062520.1	Primary Assembly	31694	na
ptg001195l	unplaced-scaffold	na	na	JAKZLS010000843.1	=	NW_026062521.1	Primary Assembly	45343	na
ptg001196l	unplaced-scaffold	na	na	JAKZLS010000844.1	=	NW_026062522.1	Primary Assembly	25194	na
ptg001197l	unplaced-scaffold	na	na	JAKZLS010000845.1	=	NW_026062523.1	Primary Assembly	23061	na
ptg001198l	unplaced-scaffold	na	na	JAKZLS010000846.1	=	NW_026062524.1	Primary Assembly	25196	na
ptg001199l	unplaced-scaffold	na	na	JAKZLS010000847.1	=	NW_026062525.1	Primary Assembly	19938	na
ptg001200l	unplaced-scaffold	na	na	JAKZLS010000848.1	=	NW_026062526.1	Primary Assembly	72886	na
ptg001201l	unplaced-scaffold	na	na	JAKZLS010000849.1	=	NW_026062527.1	Primary Assembly	51788	na
ptg001203l	unplaced-scaffold	na	na	JAKZLS010000851.1	=	NW_026062528.1	Primary Assembly	39031	na
ptg001204l	unplaced-scaffold	na	na	JAKZLS010000852.1	=	NW_026062529.1	Primary Assembly	76614	na
ptg001205l	unplaced-scaffold	na	na	JAKZLS010000853.1	=	NW_026062530.1	Primary Assembly	120874	na
ptg001207l	unplaced-scaffold	na	na	JAKZLS010000855.1	=	NW_026062531.1	Primary Assembly	48563	na
ptg001210l	unplaced-scaffold	na	na	JAKZLS010000857.1	=	NW_026062532.1	Primary Assembly	32770	na
ptg001211l	unplaced-scaffold	na	na	JAKZLS010000858.1	=	NW_026062533.1	Primary Assembly	30288	na
ptg001212l	unplaced-scaffold	na	na	JAKZLS010000859.1	=	NW_026062534.1	Primary Assembly	30300	na
ptg001213l	unplaced-scaffold	na	na	JAKZLS010000860.1	=	NW_026062535.1	Primary Assembly	41730	na
ptg001214l	unplaced-scaffold	na	na	JAKZLS010000861.1	=	NW_026062536.1	Primary Assembly	29032	na
ptg001215l	unplaced-scaffold	na	na	JAKZLS010000862.1	=	NW_026062537.1	Primary Assembly	54431	na
ptg001216l	unplaced-scaffold	na	na	JAKZLS010000863.1	=	NW_026062538.1	Primary Assembly	112526	na
ptg001217l	unplaced-scaffold	na	na	JAKZLS010000864.1	=	NW_026062539.1	Primary Assembly	36179	na
ptg001218l	unplaced-scaffold	na	na	JAKZLS010000865.1	=	NW_026062540.1	Primary Assembly	72041	na
ptg001219l	unplaced-scaffold	na	na	JAKZLS010000866.1	=	NW_026062541.1	Primary Assembly	93727	na
ptg001220l	unplaced-scaffold	na	na	JAKZLS010000867.1	=	NW_026062542.1	Primary Assembly	35114	na
ptg001221l	unplaced-scaffold	na	na	JAKZLS010000868.1	=	NW_026062543.1	Primary Assembly	70795	na
ptg001222l	unplaced-scaffold	na	na	JAKZLS010000869.1	=	NW_026062544.1	Primary Assembly	28142	na
ptg001223l	unplaced-scaffold	na	na	JAKZLS010000870.1	=	NW_026062545.1	Primary Assembly	14421	na
ptg001224l	unplaced-scaffold	na	na	JAKZLS010000871.1	=	NW_026062546.1	Primary Assembly	20354	na
ptg001225l	unplaced-scaffold	na	na	JAKZLS010000872.1	=	NW_026062547.1	Primary Assembly	33353	na
ptg001226l	unplaced-scaffold	na	na	JAKZLS010000873.1	=	NW_026062548.1	Primary Assembly	20640	na
ptg001227l	unplaced-scaffold	na	na	JAKZLS010000874.1	=	NW_026062549.1	Primary Assembly	81318	na
ptg001229l	unplaced-scaffold	na	na	JAKZLS010000876.1	=	NW_026062550.1	Primary Assembly	70971	na
ptg001231l	unplaced-scaffold	na	na	JAKZLS010000878.1	=	NW_026062551.1	Primary Assembly	26958	na
ptg001232l	unplaced-scaffold	na	na	JAKZLS010000879.1	=	NW_026062552.1	Primary Assembly	39498	na
ptg001234l	unplaced-scaffold	na	na	JAKZLS010000881.1	=	NW_026062553.1	Primary Assembly	133558	na
ptg001235l	unplaced-scaffold	na	na	JAKZLS010000882.1	=	NW_026062554.1	Primary Assembly	40901	na
ptg001236l	unplaced-scaffold	na	na	JAKZLS010000883.1	=	NW_026062555.1	Primary Assembly	33706	na
ptg001237l	unplaced-scaffold	na	na	JAKZLS010000884.1	=	NW_026062556.1	Primary Assembly	39331	na
ptg001238l	unplaced-scaffold	na	na	JAKZLS010000885.1	=	NW_026062557.1	Primary Assembly	39589	na
ptg001239l	unplaced-scaffold	na	na	JAKZLS010000886.1	=	NW_026062558.1	Primary Assembly	34491	na
ptg001240l	unplaced-scaffold	na	na	JAKZLS010000887.1	=	NW_026062559.1	Primary Assembly	31457	na
ptg001241l	unplaced-scaffold	na	na	JAKZLS010000888.1	=	NW_026062560.1	Primary Assembly	44791	na
ptg001242l	unplaced-scaffold	na	na	JAKZLS010000889.1	=	NW_026062561.1	Primary Assembly	79493	na
ptg001243l	unplaced-scaffold	na	na	JAKZLS010000890.1	=	NW_026062562.1	Primary Assembly	54163	na
ptg001244l	unplaced-scaffold	na	na	JAKZLS010000891.1	=	NW_026062563.1	Primary Assembly	54992	na
ptg001245l	unplaced-scaffold	na	na	JAKZLS010000892.1	=	NW_026062564.1	Primary Assembly	59699	na
ptg001246l	unplaced-scaffold	na	na	JAKZLS010000893.1	=	NW_026062565.1	Primary Assembly	79699	na
ptg001247l	unplaced-scaffold	na	na	JAKZLS010000894.1	=	NW_026062566.1	Primary Assembly	85828	na
ptg001248l	unplaced-scaffold	na	na	JAKZLS010000895.1	=	NW_026062567.1	Primary Assembly	34905	na
ptg001251l	unplaced-scaffold	na	na	JAKZLS010000898.1	=	NW_026062568.1	Primary Assembly	35376	na
ptg001252l	unplaced-scaffold	na	na	JAKZLS010000899.1	=	NW_026062569.1	Primary Assembly	27730	na
ptg001253l	unplaced-scaffold	na	na	JAKZLS010000900.1	=	NW_026062570.1	Primary Assembly	37174	na
ptg001254l	unplaced-scaffold	na	na	JAKZLS010000901.1	=	NW_026062571.1	Primary Assembly	109862	na
ptg001255l	unplaced-scaffold	na	na	JAKZLS010000902.1	=	NW_026062572.1	Primary Assembly	41184	na
ptg001256l	unplaced-scaffold	na	na	JAKZLS010000903.1	=	NW_026062573.1	Primary Assembly	45616	na
ptg001257l	unplaced-scaffold	na	na	JAKZLS010000904.1	=	NW_026062574.1	Primary Assembly	36197	na
ptg001258l	unplaced-scaffold	na	na	JAKZLS010000905.1	=	NW_026062575.1	Primary Assembly	27059	na
ptg001259l	unplaced-scaffold	na	na	JAKZLS010000906.1	=	NW_026062576.1	Primary Assembly	117542	na
ptg001260l	unplaced-scaffold	na	na	JAKZLS010000907.1	=	NW_026062577.1	Primary Assembly	32375	na
ptg001261l	unplaced-scaffold	na	na	JAKZLS010000908.1	=	NW_026062578.1	Primary Assembly	57780	na
ptg001262l	unplaced-scaffold	na	na	JAKZLS010000909.1	=	NW_026062579.1	Primary Assembly	73489	na
ptg001264l	unplaced-scaffold	na	na	JAKZLS010000911.1	=	NW_026062580.1	Primary Assembly	44933	na
ptg001265l	unplaced-scaffold	na	na	JAKZLS010000912.1	=	NW_026062581.1	Primary Assembly	42855	na
ptg001266l	unplaced-scaffold	na	na	JAKZLS010000913.1	=	NW_026062582.1	Primary Assembly	24712	na
ptg001269l	unplaced-scaffold	na	na	JAKZLS010000916.1	=	NW_026062583.1	Primary Assembly	27419	na
ptg001270l	unplaced-scaffold	na	na	JAKZLS010000917.1	=	NW_026062584.1	Primary Assembly	21324	na
ptg001271l	unplaced-scaffold	na	na	JAKZLS010000918.1	=	NW_026062585.1	Primary Assembly	18083	na
ptg001272l	unplaced-scaffold	na	na	JAKZLS010000919.1	=	NW_026062586.1	Primary Assembly	42386	na
ptg001274l	unplaced-scaffold	na	na	JAKZLS010000921.1	=	NW_026062587.1	Primary Assembly	45286	na
ptg001275l	unplaced-scaffold	na	na	JAKZLS010000922.1	=	NW_026062588.1	Primary Assembly	44179	na
ptg001276l	unplaced-scaffold	na	na	JAKZLS010000923.1	=	NW_026062589.1	Primary Assembly	21709	na
ptg001277l	unplaced-scaffold	na	na	JAKZLS010000924.1	=	NW_026062590.1	Primary Assembly	32596	na
ptg001279l	unplaced-scaffold	na	na	JAKZLS010000926.1	=	NW_026062591.1	Primary Assembly	75904	na
ptg001280l	unplaced-scaffold	na	na	JAKZLS010000927.1	=	NW_026062592.1	Primary Assembly	33835	na
ptg001281l	unplaced-scaffold	na	na	JAKZLS010000928.1	=	NW_026062593.1	Primary Assembly	45976	na
ptg001282l	unplaced-scaffold	na	na	JAKZLS010000929.1	=	NW_026062594.1	Primary Assembly	22359	na
ptg001283l	unplaced-scaffold	na	na	JAKZLS010000930.1	=	NW_026062595.1	Primary Assembly	40768	na
ptg001284l	unplaced-scaffold	na	na	JAKZLS010000931.1	=	NW_026062596.1	Primary Assembly	18467	na
ptg001285l	unplaced-scaffold	na	na	JAKZLS010000932.1	=	NW_026062597.1	Primary Assembly	41595	na
ptg001286l	unplaced-scaffold	na	na	JAKZLS010000933.1	=	NW_026062598.1	Primary Assembly	26731	na
ptg001287l	unplaced-scaffold	na	na	JAKZLS010000934.1	=	NW_026062599.1	Primary Assembly	63001	na
ptg001288l	unplaced-scaffold	na	na	JAKZLS010000935.1	=	NW_026062600.1	Primary Assembly	28152	na
ptg001289l	unplaced-scaffold	na	na	JAKZLS010000936.1	=	NW_026062601.1	Primary Assembly	73977	na
ptg001290l	unplaced-scaffold	na	na	JAKZLS010000937.1	=	NW_026062602.1	Primary Assembly	23036	na
ptg001291l	unplaced-scaffold	na	na	JAKZLS010000938.1	=	NW_026062603.1	Primary Assembly	37173	na
ptg001292l	unplaced-scaffold	na	na	JAKZLS010000939.1	=	NW_026062604.1	Primary Assembly	57088	na
ptg001293l	unplaced-scaffold	na	na	JAKZLS010000940.1	=	NW_026062605.1	Primary Assembly	27740	na
ptg001294l	unplaced-scaffold	na	na	JAKZLS010000941.1	=	NW_026062606.1	Primary Assembly	36360	na
ptg001295l	unplaced-scaffold	na	na	JAKZLS010000942.1	=	NW_026062607.1	Primary Assembly	63950	na
ptg001296l	unplaced-scaffold	na	na	JAKZLS010000943.1	=	NW_026062608.1	Primary Assembly	26303	na
ptg001297l	unplaced-scaffold	na	na	JAKZLS010000944.1	=	NW_026062609.1	Primary Assembly	29587	na
ptg001298l	unplaced-scaffold	na	na	JAKZLS010000945.1	=	NW_026062610.1	Primary Assembly	90682	na
ptg001299l	unplaced-scaffold	na	na	JAKZLS010000946.1	=	NW_026062611.1	Primary Assembly	24300	na
ptg001300l	unplaced-scaffold	na	na	JAKZLS010000947.1	=	NW_026062612.1	Primary Assembly	46048	na
ptg001302l	unplaced-scaffold	na	na	JAKZLS010000948.1	=	NW_026062613.1	Primary Assembly	109646	na
ptg001303l	unplaced-scaffold	na	na	JAKZLS010000949.1	=	NW_026062614.1	Primary Assembly	64487	na
ptg001304l	unplaced-scaffold	na	na	JAKZLS010000950.1	=	NW_026062615.1	Primary Assembly	31468	na
ptg001305l	unplaced-scaffold	na	na	JAKZLS010000951.1	=	NW_026062616.1	Primary Assembly	59629	na
ptg001306l	unplaced-scaffold	na	na	JAKZLS010000952.1	=	NW_026062617.1	Primary Assembly	59889	na
ptg001307l	unplaced-scaffold	na	na	JAKZLS010000953.1	=	NW_026062618.1	Primary Assembly	29546	na
ptg001308l	unplaced-scaffold	na	na	JAKZLS010000954.1	=	NW_026062619.1	Primary Assembly	17086	na
ptg001309l	unplaced-scaffold	na	na	JAKZLS010000955.1	=	NW_026062620.1	Primary Assembly	35343	na
ptg001310l	unplaced-scaffold	na	na	JAKZLS010000956.1	=	NW_026062621.1	Primary Assembly	24303	na
ptg001311l	unplaced-scaffold	na	na	JAKZLS010000957.1	=	NW_026062622.1	Primary Assembly	74763	na
ptg001312l	unplaced-scaffold	na	na	JAKZLS010000958.1	=	NW_026062623.1	Primary Assembly	183149	na
ptg001313l	unplaced-scaffold	na	na	JAKZLS010000959.1	=	NW_026062624.1	Primary Assembly	20831	na
ptg001314l	unplaced-scaffold	na	na	JAKZLS010000960.1	=	NW_026062625.1	Primary Assembly	30994	na
ptg001315l	unplaced-scaffold	na	na	JAKZLS010000961.1	=	NW_026062626.1	Primary Assembly	55437	na
ptg001316l	unplaced-scaffold	na	na	JAKZLS010000962.1	=	NW_026062627.1	Primary Assembly	34243	na
ptg001317l	unplaced-scaffold	na	na	JAKZLS010000963.1	=	NW_026062628.1	Primary Assembly	25893	na
ptg001318l	unplaced-scaffold	na	na	JAKZLS010000964.1	=	NW_026062629.1	Primary Assembly	17407	na
ptg001320l	unplaced-scaffold	na	na	JAKZLS010000966.1	=	NW_026062630.1	Primary Assembly	44082	na
ptg001321l	unplaced-scaffold	na	na	JAKZLS010000967.1	=	NW_026062631.1	Primary Assembly	105761	na
ptg001323l	unplaced-scaffold	na	na	JAKZLS010000969.1	=	NW_026062632.1	Primary Assembly	28295	na
ptg001324l	unplaced-scaffold	na	na	JAKZLS010000970.1	=	NW_026062633.1	Primary Assembly	22545	na
ptg001325l	unplaced-scaffold	na	na	JAKZLS010000971.1	=	NW_026062634.1	Primary Assembly	23105	na
ptg001326l	unplaced-scaffold	na	na	JAKZLS010000972.1	=	NW_026062635.1	Primary Assembly	26468	na
ptg001327l	unplaced-scaffold	na	na	JAKZLS010000973.1	=	NW_026062636.1	Primary Assembly	80585	na
ptg001328l	unplaced-scaffold	na	na	JAKZLS010000974.1	=	NW_026062637.1	Primary Assembly	20148	na
ptg001330l	unplaced-scaffold	na	na	JAKZLS010000976.1	=	NW_026062638.1	Primary Assembly	38029	na
