	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED]	LOC126299018	MAG: Formate dehydrogenase O alpha subunit	2226	14	2.89E-197	48.49	3	F:GO:0004151; F:GO:0016491; F:GO:0016787	F:dihydroorotase activity; F:oxidoreductase activity; F:hydrolase activity			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126297808	ELAV-like protein 4	24639	20	7.2E-86	57.46	2	F:GO:0003723; C:GO:1990904	F:RNA binding; C:ribonucleoprotein complex			IPR002343 (PRINTS); IPR012677 (G3DSA:3.30.70.GENE3D); IPR000504 (PFAM); IPR012677 (G3DSA:3.30.70.GENE3D); IPR000504 (PROSITE_PROFILES); IPR035979 (SUPERFAMILY)	F:GO:0003676; F:GO:0003723; C:GO:1990904	F:nucleic acid binding; F:RNA binding; C:ribonucleoprotein complex
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298039	cytosolic carboxypeptidase 6	1878	1	0.0	100.0	3	P:GO:0006508; F:GO:0004181; F:GO:0008270	P:proteolysis; F:metallocarboxypeptidase activity; F:zinc ion binding			G3DSA:3.40.630.10 (GENE3D); IPR000834 (PFAM); G3DSA:2.60.40.3120 (GENE3D); IPR040626 (PFAM); cd06908 (CDD); SSF53187 (SUPERFAMILY)	P:GO:0006508; F:GO:0004181; F:GO:0008270	P:proteolysis; F:metallocarboxypeptidase activity; F:zinc ion binding
true	[INTERPRO, BLASTED]	LOC126298040	uncharacterized protein LOC126298040	297	1	1.93E-45	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298715	tRNA:m(4)X modification enzyme TRM13 homolog isoform X1	4572	20	1.08E-106	52.89	2	P:GO:0008033; F:GO:0008168	P:tRNA processing; F:methyltransferase activity			IPR007871 (PFAM)	P:GO:0008033; F:GO:0008168	P:tRNA processing; F:methyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298717	XP_049846100.1 rootletin-like	3534	1	1.7E-89	100.0	4	P:GO:0006869; P:GO:0042157; F:GO:0008289; C:GO:0005576	P:lipid transport; P:lipoprotein metabolic process; F:lipid binding; C:extracellular region			G3DSA:1.20.120.20 (GENE3D); G3DSA:1.20.120.20 (GENE3D); IPR000074 (PFAM); SSF58113 (SUPERFAMILY); SSF58113 (SUPERFAMILY); SSF58113 (SUPERFAMILY); SSF58113 (SUPERFAMILY)	P:GO:0006869; P:GO:0042157; F:GO:0008289; C:GO:0005576	P:lipid transport; P:lipoprotein metabolic process; F:lipid binding; C:extracellular region
true	[INTERPRO, BLASTED]	LOC126298718	uncharacterized protein LOC126298718	384	1	1.24E-84	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299395	uncharacterized protein LOC126299395	474	2	4.67E-108	97.47						PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126298446	uncharacterized protein LOC126298446	1737	1	0.0	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298042	uncharacterized protein LOC126298042	339	1	1.73E-77	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297511	dihydrofolate reductase-like isoform X2	1545	13	4.74E-81	40.94	2	P:GO:0046654; F:GO:0004146	P:tetrahydrofolate biosynthetic process; F:dihydrofolate reductase activity			PR00070 (PRINTS); IPR024072 (G3DSA:3.40.430.GENE3D); IPR001796 (PFAM); IPR024072 (G3DSA:3.40.430.GENE3D); IPR001796 (PROSITE_PROFILES); IPR001796 (CDD); IPR024072 (SUPERFAMILY); IPR024072 (SUPERFAMILY)	P:GO:0046654; F:GO:0004146	P:tetrahydrofolate biosynthetic process; F:dihydrofolate reductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297512	protein inturned isoform X1	5493	14	1.97E-207	61.38	1	P:GO:0016192	P:vesicle-mediated transport			IPR043988 (PFAM)	P:GO:0016192	P:vesicle-mediated transport
true	[INTERPRO, BLASTED]	LOC126297513	liprin-alpha-1-like	786	1	8.09E-152	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126297414	regulation of short-term neuronal synaptic plasticity	80607	20	1.05E-124	60.38	1	C:GO:0005737	C:cytoplasm			G3DSA:1.10.287.1490 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297444	lysosomal aspartic protease	732	5	3.71E-176	99.59	2	P:GO:0006508; F:GO:0004190	P:proteolysis; F:aspartic-type endopeptidase activity			IPR001461 (PRINTS); G3DSA:2.40.70.10:FF:000044 (FUNFAM); IPR033121 (PFAM); IPR021109 (G3DSA:2.40.70.GENE3D); PIRSR633144-2 (PIRSR); IPR033121 (PROSITE_PROFILES); IPR021109 (SUPERFAMILY)	P:GO:0006508; F:GO:0004190	P:proteolysis; F:aspartic-type endopeptidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298594	phospholipase A2 inhibitor beta	1215	5	2.45E-306	99.46	1	F:GO:0005515	F:protein binding			IPR032675 (G3DSA:3.80.10.GENE3D); IPR001611 (PFAM); PIRSR002490-1 (PIRSR); SSF52058 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	LOC126297566	26S proteasome non-ATPase regulatory subunit 2	5475	2	2.2E-272	66.75						IPR040892 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126297677	zinc-type alcohol dehydrogenase-like protein C1773.06c isoform X2	7854	20	1.92E-84	75.56	2	P:GO:0050896; F:GO:0016491	P:response to stimulus; F:oxidoreductase activity	EC:1	Oxidoreductases	G3DSA:3.90.180.10 (GENE3D); PF13602 (PFAM); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297830	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P-like	1092	6	1.83E-253	97.24	2	F:GO:0015018; C:GO:0016020	F:galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity; C:membrane			G3DSA:3.90.550.10:FF:000044 (FUNFAM); IPR005027 (PFAM); IPR029044 (G3DSA:3.90.550.GENE3D); PIRSR605027-1 (PIRSR); PIRSR605027-3 (PIRSR); IPR005027 (CDD); IPR029044 (SUPERFAMILY)	F:GO:0015018; C:GO:0016020	F:galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED]	LOC126298917	synaptic vesicle glycoprotein 2B-like	3606	7	3.68E-251	60.6	1	C:GO:0016020	C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298046	piggyBac transposable element-derived protein 2-like	1413	1	0.0	100.0						IPR029526 (PFAM); PIRSR001558-1 (PIRSR)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126298047	uncharacterized protein LOC126298047	753	1	2.53E-185	100.0						IPR029526 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298048	proteoglycan 4-like	2238	1	2.97E-30	100.0	3	P:GO:0030261; F:GO:0003677; F:GO:0030527	P:chromosome condensation; F:DNA binding; F:structural constituent of chromatin			IPR009970 (PFAM)	P:GO:0030261; F:GO:0003677; F:GO:0030527	P:chromosome condensation; F:DNA binding; F:structural constituent of chromatin
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298900	putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	1449	6	0.0	99.0	2	P:GO:0006488; F:GO:0106073	P:dolichol-linked oligosaccharide biosynthetic process; F:dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity			IPR016900 (PIRSF); IPR016900 (PFAM)	P:GO:0006488; F:GO:0106073	P:dolichol-linked oligosaccharide biosynthetic process; F:dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298956	glycoprotein endo-alpha-1,2-mannosidase isoform X1	15900	12	1.99E-219	86.11	1	F:GO:0016798	F:hydrolase activity, acting on glycosyl bonds			G3DSA:3.20.20.80 (GENE3D); IPR026071 (PFAM)	F:GO:0016798	F:hydrolase activity, acting on glycosyl bonds
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298007	bone morphogenetic protein 2	1146	6	8.61E-268	97.69	1	F:GO:0008083	F:growth factor activity			IPR029034 (G3DSA:2.10.90.GENE3D); IPR001111 (PFAM); G3DSA:2.60.120.970 (GENE3D); IPR001839 (PFAM); PIRSR037403-1 (PIRSR); PIRSR001787-1 (PIRSR); IPR001839 (PROSITE_PROFILES); cd13755 (CDD); IPR029034 (SUPERFAMILY)	F:GO:0008083	F:growth factor activity
true	[INTERPRO, BLASTED]	LOC126299352	uncharacterized protein LOC126299352	2142	5	1.9E-147	94.75						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299284	constitutive coactivator of peroxisome proliferator-activated receptor gamma-like isoform X2	13911	11	3.98E-135	72.92						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299287	leukocyte elastase inhibitor-like	1437	6	0.0	99.37						IPR023796 (PFAM); IPR042185 (G3DSA:2.30.39.GENE3D); IPR042178 (G3DSA:3.30.497.GENE3D); IPR036186 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126299286	serine protease inhibitor 2-like	1500	5	0.0	99.36						G3DSA:2.30.39.10:FF:000030 (FUNFAM); IPR042185 (G3DSA:2.30.39.GENE3D); IPR023796 (PFAM); IPR042178 (G3DSA:3.30.497.GENE3D); cd19578 (CDD); IPR036186 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126299208	uncharacterized protein LOC126299208 isoform X1	1215	4	2.2E-144	79.2	1	F:GO:0005515	F:protein binding			G3DSA:2.40.128.620 (GENE3D); IPR002172 (PROSITE_PROFILES); IPR002172 (CDD); IPR036055 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	LOC126299231	flavin-containing monooxygenase FMO GS-OX5-like isoform X1	3735	10	2.39E-220	49.91						IPR036188 (G3DSA:3.50.50.GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126298467	uncharacterized protein LOC126298467	936	1	1.87E-213	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298052	misshapen-like kinase 1	3111	1	0.0	100.0	2	P:GO:0046600; F:GO:0008017	P:negative regulation of centriole replication; F:microtubule binding			IPR029136 (PFAM)	P:GO:0046600; F:GO:0008017	P:negative regulation of centriole replication; F:microtubule binding
true	[INTERPRO, BLASTED]	LOC126299468	isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial isoform X2	4872	18	7.4E-101	57.86						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298824	solute carrier family 41 member 2-like	19305	18	6.12E-87	74.52	2	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity			IPR006667 (PFAM); IPR036739 (G3DSA:1.10.357.GENE3D); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY)	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297849	solute carrier family 41 member 1-like isoform X1	2958	6	6.34E-215	61.35	2	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity			G3DSA:1.10.357.20:FF:000001 (FUNFAM); IPR036739 (G3DSA:1.10.357.GENE3D); IPR006667 (PFAM); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY)	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298371	solute carrier family 41 member 1-like	8676	20	9.26E-86	64.97	2	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity			G3DSA:1.10.357.20:FF:000001 (FUNFAM); IPR036739 (G3DSA:1.10.357.GENE3D); IPR006667 (PFAM); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY); IPR036739 (SUPERFAMILY)	P:GO:0006812; F:GO:0008324	P:monoatomic cation transport; F:monoatomic cation transmembrane transporter activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298871	F-box/LRR-repeat protein 5-like	981	3	5.19E-248	99.9	1	F:GO:0005515	F:protein binding			IPR032675 (G3DSA:3.80.10.GENE3D); G3DSA:1.20.1280.50 (GENE3D); IPR001810 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); IPR001810 (PROSITE_PROFILES); cd22139 (CDD); IPR036047 (SUPERFAMILY); SSF52047 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298319	proton myo-inositol cotransporter-like	1758	6	0.0	99.46	3	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane			IPR003663 (PRINTS); G3DSA:1.20.1250.20:FF:000177 (FUNFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR005828 (PFAM); IPR003663 (NCBIFAM); IPR020846 (PROSITE_PROFILES); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126299091	Bardet-Biedl syndrome 2 protein homolog isoform X2	9723	20	1.26E-103	58.04	1	F:GO:0005515	F:protein binding			IPR015943 (G3DSA:2.130.10.GENE3D); IPR029333 (PFAM); IPR029430 (PFAM); IPR029429 (PFAM); IPR028994 (SUPERFAMILY); IPR036322 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126299251	metal cation symporter ZIP14-like	1299	7	0.0	98.73	4	P:GO:0030001; P:GO:0055085; F:GO:0046873; C:GO:0016020	P:metal ion transport; P:transmembrane transport; F:metal ion transmembrane transporter activity; C:membrane			IPR003689 (PFAM)	P:GO:0030001; P:GO:0055085; F:GO:0046873; C:GO:0016020	P:metal ion transport; P:transmembrane transport; F:metal ion transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED]	LOC126298858	uncharacterized protein LOC126298858 isoform X1	2874	9	5.38E-179	49.9						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126297714	patched domain-containing protein 3-like	2790	5	0.0	98.93	1	C:GO:0016020	C:membrane			G3DSA:1.20.1640.10 (GENE3D); IPR003392 (PFAM); IPR000731 (PROSITE_PROFILES); SSF82866 (SUPERFAMILY); SSF82866 (SUPERFAMILY)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126299571	zinc finger Ran-binding domain-containing protein 2 isoform X2	4188	20	1.32E-52	82.47	4	P:GO:0006396; F:GO:0003723; F:GO:0046872; C:GO:0005634	P:RNA processing; F:RNA binding; F:metal ion binding; C:nucleus			G3DSA:4.10.1060.10 (GENE3D); IPR036443 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126299573	glycine receptor subunit alpha-2 isoform X1	6654	20	7.48E-63	52.48	4	P:GO:0034220; F:GO:0004888; F:GO:0005216; C:GO:0016020	P:monoatomic ion transmembrane transport; F:transmembrane signaling receptor activity; F:monoatomic ion channel activity; C:membrane			IPR006028 (PRINTS); IPR038050 (G3DSA:1.20.58.GENE3D); IPR036719 (SUPERFAMILY)	P:GO:0006811; P:GO:0034220; F:GO:0004888; F:GO:0005216; C:GO:0016020	P:monoatomic ion transport; P:monoatomic ion transmembrane transport; F:transmembrane signaling receptor activity; F:monoatomic ion channel activity; C:membrane
true	[INTERPRO, BLASTED]	LOC126299574	importin-9 isoform X1	9321	16	1.19E-115	69.72						IPR011989 (G3DSA:1.25.10.GENE3D); IPR016024 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126299363	UPF0587 protein v1g245604	468	4	1.57E-114	100.0						IPR008584 (PFAM); SSF141678 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126299116	exopolyphosphatase PRUNE1-like isoform X1	1146	12	3.32E-281	97.37	2	F:GO:0016462; C:GO:0005737	F:pyrophosphatase activity; C:cytoplasm			G3DSA:3.90.1640.10 (GENE3D); IPR038222 (G3DSA:3.10.310.GENE3D); IPR004097 (PFAM); IPR038763 (SUPERFAMILY)	F:GO:0016462; C:GO:0005737	F:pyrophosphatase activity; C:cytoplasm
true	[INTERPRO, NO-BLAST]	LOC126298053	---NA---	2130									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298054	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like	1641	1	6.73E-122	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126297547	membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 isoform X2	16398	20	0.0	58.82	1	F:GO:0005515	F:protein binding			G3DSA:2.30.42.10:FF:000005 (FUNFAM); G3DSA:2.30.42.10:FF:000333 (FUNFAM); G3DSA:2.30.42.10:FF:000005 (FUNFAM); G3DSA:2.30.42.10:FF:000005 (FUNFAM); G3DSA:2.30.42.10:FF:000005 (FUNFAM); G3DSA:2.20.70.10:FF:000001 (FUNFAM); IPR036034 (G3DSA:2.30.42.GENE3D); IPR001478 (PFAM); IPR036034 (G3DSA:2.30.42.GENE3D); G3DSA:2.20.70.10 (GENE3D); IPR001202 (PFAM); IPR001478 (PROSITE_PROFILES); IPR001478 (PROSITE_PROFILES); IPR001478 (PROSITE_PROFILES); IPR001478 (PROSITE_PROFILES); IPR001478 (PROSITE_PROFILES); IPR001202 (PROSITE_PROFILES); IPR001478 (CDD); IPR001202 (CDD); IPR001478 (CDD); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036034 (SUPERFAMILY); IPR036020 (SUPERFAMILY); IPR036034 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, NO-BLAST]	LOC126298055	---NA---	954									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298056	uncharacterized PE-PGRS family protein PE_PGRS54-like	4347	1	2.07E-21	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298671	uncharacterized protein LOC126298671	1251	5	0.0	99.18						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126299253	inositol-pentakisphosphate 2-kinase-like	1275	6	0.0	99.37	2	F:GO:0005524; F:GO:0035299	F:ATP binding; F:inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity			IPR043001 (G3DSA:3.30.200.GENE3D); IPR009286 (PFAM)	F:GO:0005524; F:GO:0035299	F:ATP binding; F:inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298058	voltage-dependent calcium channel type A subunit alpha-1	5508	1	0.0	100.0	4	P:GO:0070588; F:GO:0005245; F:GO:0005509; C:GO:0005891	P:calcium ion transmembrane transport; F:voltage-gated calcium channel activity; F:calcium ion binding; C:voltage-gated calcium channel complex			IPR002077 (PRINTS); G3DSA:1.20.120.350:FF:000011 (FUNFAM); G3DSA:1.10.287.70:FF:000023 (FUNFAM); G3DSA:1.10.287.70:FF:000007 (FUNFAM); G3DSA:1.10.238.10:FF:000063 (FUNFAM); G3DSA:1.20.120.350:FF:000001 (FUNFAM); G3DSA:1.20.120.350:FF:000043 (FUNFAM); G3DSA:1.10.287.70:FF:000059 (FUNFAM); IPR027359 (G3DSA:1.20.120.GENE3D); IPR027359 (G3DSA:1.20.120.GENE3D); IPR005821 (PFAM); IPR027359 (G3DSA:1.20.120.GENE3D); IPR031649 (PFAM); IPR014873 (PFAM); G3DSA:1.10.287.70 (GENE3D); G3DSA:1.10.287.70 (GENE3D); G3DSA:1.10.287.70 (GENE3D); G3DSA:6.10.250.2500 (GENE3D); G3DSA:1.10.238.10 (GENE3D); G3DSA:1.10.287.70 (GENE3D); PIRSR602077-1 (PIRSR); IPR002048 (PROSITE_PROFILES); SSF81324 (SUPERFAMILY); SSF81324 (SUPERFAMILY); SSF81324 (SUPERFAMILY); IPR011992 (SUPERFAMILY); SSF81324 (SUPERFAMILY); SSF81324 (SUPERFAMILY)	P:GO:0006811; P:GO:0055085; P:GO:0070588; F:GO:0005216; F:GO:0005245; F:GO:0005509; C:GO:0005891; C:GO:0016020	P:monoatomic ion transport; P:transmembrane transport; P:calcium ion transmembrane transport; F:monoatomic ion channel activity; F:voltage-gated calcium channel activity; F:calcium ion binding; C:voltage-gated calcium channel complex; C:membrane
true	[INTERPRO, BLASTED]	LOC126298059	translation initiation factor IF-2-like	1746	1	0.0	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298060	uncharacterized protein LOC126298060	333	1	1.49E-77	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298513	histone-lysine N-methyltransferase EHMT2 isoform X1	41241	20	0.0	81.15	7	P:GO:0006338; F:GO:0002039; F:GO:0008270; F:GO:0016279; F:GO:0140938; C:GO:0005634; C:GO:0005694	P:chromatin remodeling; F:p53 binding; F:zinc ion binding; F:protein-lysine N-methyltransferase activity; F:histone H3 methyltransferase activity; C:nucleus; C:chromosome	EC:2.1.1	Transferring one-carbon groups	no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126298589	cysteine-rich hydrophobic domain-containing protein 2	498	20	3.94E-122	96.39	1	C:GO:0016020	C:membrane			IPR019383 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126298413	neural Wiskott-Aldrich syndrome protein-like	1461	6	4.84E-272	99.21	2	P:GO:0007015; F:GO:0003779	P:actin filament organization; F:actin binding			PR01217 (PRINTS); G3DSA:3.90.810.10:FF:000003 (FUNFAM); G3DSA:2.30.29.30:FF:000130 (FUNFAM); IPR036936 (G3DSA:3.90.810.GENE3D); IPR003124 (PFAM); IPR011993 (G3DSA:2.30.29.GENE3D); IPR000697 (PFAM); IPR000095 (PFAM); G3DSA:6.10.280.150 (GENE3D); IPR000095 (PROSITE_PROFILES); IPR003124 (PROSITE_PROFILES); IPR003124 (PROSITE_PROFILES); IPR000697 (PROSITE_PROFILES); cd21762 (CDD); IPR033927 (CDD); cd00132 (CDD); IPR011026 (SUPERFAMILY); SSF50729 (SUPERFAMILY); IPR011026 (SUPERFAMILY)	P:GO:0007015; F:GO:0003779	P:actin filament organization; F:actin binding
true	[INTERPRO, BLASTED]	LOC126299098	uncharacterized protein LOC126299098	621	1	2.17E-146	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299168	uncharacterized protein LOC126299168	648	1	1.15E-150	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299223	uncharacterized protein LOC126299223 isoform X1	4881	6	6.72E-78	99.64						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298940	uncharacterized protein LOC126298940 isoform X2	3774	3	9.8E-43	54.12						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298273	protein FAM186A-like	1446	1	3.57E-110	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126298271	uncharacterized protein LOC126298271	1890	1	0.0	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299206	wall-associated receptor kinase 4-like	360	5	2.2E-90	98.5						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126297793	terminal uridylyltransferase 4-like	6576	20	1.62E-303	49.8	1	F:GO:0016779	F:nucleotidyltransferase activity			IPR043519 (G3DSA:3.30.460.GENE3D); IPR002058 (PFAM); IPR002934 (PFAM); G3DSA:1.10.1410.10 (GENE3D); G3DSA:1.10.1410.10 (GENE3D); PIRSR018425-1 (PIRSR); PIRSR018425-2 (PIRSR); cd05402 (CDD); IPR043519 (SUPERFAMILY); IPR043519 (SUPERFAMILY); SSF81631 (SUPERFAMILY); SSF81631 (SUPERFAMILY)	F:GO:0016779	F:nucleotidyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126299541	phosphatidylinositol 3-kinase regulatory subunit alpha isoform X3	8316	17	6.81E-132	45.59	1	P:GO:0007165	P:signal transduction			IPR008936 (G3DSA:1.10.555.GENE3D); G3DSA:3.30.60.20 (GENE3D); IPR008936 (G3DSA:1.10.555.GENE3D); IPR002219 (PFAM); IPR000198 (PFAM); IPR008936 (G3DSA:1.10.555.GENE3D); IPR002219 (PROSITE_PROFILES); IPR000198 (PROSITE_PROFILES); cd20830 (CDD); cd00159 (CDD); cd00159 (CDD); IPR046349 (SUPERFAMILY); IPR008936 (SUPERFAMILY); IPR008936 (SUPERFAMILY); IPR008936 (SUPERFAMILY)	P:GO:0007165	P:signal transduction
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126299083	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	1779	6	0.0	99.61	2	P:GO:0006486; C:GO:0016020	P:protein glycosylation; C:membrane			IPR007676 (PFAM)	P:GO:0006486; C:GO:0016020	P:protein glycosylation; C:membrane
true	[INTERPRO, BLASTED]	LOC126299084	serine-rich adhesin for platelets-like	59523	9	0.0	83.39						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126299086	uncharacterized protein LOC126299086	522	1	9.14E-116	100.0						no IPS match	no IPS match	no IPS match
