"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126284670",1,TRUE,"Infection within diet","Diet 83: infected vs control","Downregulated",1.41238569883991,0.0333459550505836,17.889342538421,"unannotated","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334737",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.72671913777089,0.0337006651496094,18.1990806651502,"unannotated","Chaperone binding","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010556,GO:0010557,GO:0010604,GO:0019222,GO:0030016,GO:0030017,GO:0030018,GO:0030544,GO:0031072,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031401,GO:0031674,GO:0032268,GO:0032270,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044422,GO:0044424,GO:0044444,GO:0044449,GO:0044464,GO:0048518,GO:0048522,GO:0050746,GO:0050747,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0080090,GO:0099080,GO:0099081,GO:0099512,GO:1903059,GO:1903061,GO:2000112",NA,NA,"BAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126295441",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.21424574400351,0.0337666823298811,17.6857573519084,"unannotated","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process",NA,NA,NA,"Aldo_ket_red",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335063",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.81863754617096,0.0338281250214188,18.2893596191905,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-2.72164105375369,3.2430760735818,-2.20020603392558,-3.2430760735818,2.79279936848427e-17,6.4091850067095e-27,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126336760",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",3.16554412799604,0.0339987681123886,19.6340809465916,"unannotated","Kazal type serine protease inhibitors","GO:0003002,GO:0007275,GO:0007389,GO:0007444,GO:0007447,GO:0007450,GO:0008150,GO:0009888,GO:0009953,GO:0032501,GO:0032502,GO:0035220,GO:0035222,GO:0035295,GO:0048190,GO:0048513,GO:0048731,GO:0048856,GO:0060429",NA,NA,"Kazal_2",2,"Head + Thorax","Gregarious-up + Solitarious-up",0.0346257160389449,1.1529131531805,-1.08366172110261,1.1529131531805,0.0185448744907512,1.17522123516364e-05,"Discordant phase direction","Shared head/thorax phase DEG"
"LOC126364572",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.78866304920033,0.0339987681123886,18.2571998677958,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126365980",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.69622156580348,0.0340299266981001,18.1643605521953,"unannotated","Limb expression 1","GO:0002009,GO:0002165,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005911,GO:0006914,GO:0007275,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0008152,GO:0009056,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0016020,GO:0016043,GO:0016236,GO:0022411,GO:0030054,GO:0032501,GO:0032502,GO:0032984,GO:0032991,GO:0035003,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0043296,GO:0043933,GO:0044237,GO:0044248,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0060429,GO:0060562,GO:0061919,GO:0071840,GO:0071944,GO:0097352,GO:0098796,GO:0098797","ko:K16673","ko04391,map04391","LIX1",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126323781",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",6.32079542062435,0.0340945276794821,22.7881107421985,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126275742",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.31431457269478,0.0341037775769032,18.7815120854929,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272939",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",4.19409130488275,0.0343071055425045,20.6587072262887,"unannotated","cytochrome p450",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126299001",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.24259099901543,0.0343078406894785,18.7071976142777,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126295210",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.12345109898225,0.0343078406894785,17.5880577142445,"unannotated","Receptor activity. It is involved in the biological process described with multicellular organismal development",NA,NA,NA,"PSI",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126353887",1,TRUE,"Infection within diet","Diet 33: infected vs control","Upregulated",1.14818375033373,0.0344842434759032,17.610563047567,"unannotated","ATP-dependent RNA helicase SUV3","GO:0000177,GO:0000178,GO:0000959,GO:0000963,GO:0000965,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006091,GO:0006119,GO:0006139,GO:0006163,GO:0006378,GO:0006396,GO:0006397,GO:0006399,GO:0006401,GO:0006417,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0008026,GO:0008033,GO:0008150,GO:0008152,GO:0008186,GO:0009056,GO:0009057,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009889,GO:0009891,GO:0009893,GO:0009894,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0015980,GO:0016043,GO:0016070,GO:0016071,GO:0016310,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0019219,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0031123,GO:0031124,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031974,GO:0032268,GO:0032270,GO:0032392,GO:0032508,GO:0032991,GO:0034248,GO:0034250,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043487,GO:0043488,GO:0043631,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044528,GO:0045025,GO:0045333,GO:0045727,GO:0046034,GO:0046483,GO:0046700,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051276,GO:0055086,GO:0055114,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0070013,GO:0070035,GO:0070129,GO:0070131,GO:0071103,GO:0071704,GO:0071840,GO:0072521,GO:0080090,GO:0090304,GO:0090615,GO:0090616,GO:0090646,GO:0097159,GO:0097222,GO:0098798,GO:0140053,GO:0140097,GO:0140098,GO:1901135,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901575,GO:1902494,GO:1903311,GO:1905354,GO:2000112","ko:K17675",NA,"Helicase_C,SUV3_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272361",1,TRUE,"Infection within diet","Diet 83: infected vs control","Upregulated",2.57489138616382,0.0345180924208013,19.0368445989471,"unannotated","those in tissues and body fluids are associated with the monocyte- macrophage system and enhance the activity of immunoagents","GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542","ko:K13915","ko04970,map04970","Lys",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337983",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.49134675007496,0.0345182226723112,17.9532983240828,"unannotated","Solute carrier family 3 member 2 N-terminus","GO:0003333,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0015711,GO:0015803,GO:0015804,GO:0015807,GO:0015820,GO:0015849,GO:0034220,GO:0043090,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0089718,GO:0098655,GO:0098656,GO:0098657,GO:0098713,GO:0098739,GO:1902475,GO:1903801,GO:1903825,GO:1905039","ko:K06519,ko:K14210","ko04150,ko04216,ko04974,map04150,map04216,map04974","Alpha-amylase,SLC3A2_N",1,"Thorax","Solitarious-up",-1.36621356154927,1.36621356154927,NA,-1.36621356154927,NA,0.00133509728583673,"Solitarious-up","Thorax phase DEG only"
"LOC126268185",1,TRUE,"Infection within diet","Diet 83: infected vs control","Downregulated",1.00887447061443,0.0345302415865526,17.4706748537669,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126298221",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.39657819555427,0.0345354859010456,17.8583126248123,"unannotated","Amino acid binding. It is involved in the biological process described with metabolic process","GO:0003674,GO:0003824,GO:0016853,GO:0016854,GO:0016855,GO:0030378,GO:0036361,GO:0047661","ko:K01754","ko00260,ko00290,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00290,map01100,map01110,map01130,map01200,map01230","ACT,PALP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336469",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.53734319732455,0.0345359112570366,17.9990722776315,"unannotated","Enoyl-(Acyl carrier protein) reductase",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.23035699389016,1.28435936233007,-1.17635462545024,-1.28435936233007,7.59380539687804e-05,3.17653693763116e-08,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126294953",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",3.57271665394874,0.034639673239979,20.0331428673339,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126270940",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.15752024552876,0.0349451366018721,17.6141335030419,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126354697",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.09477578039527,0.0351471285347903,17.5488859307673,"unannotated","SIS domain",NA,"ko:K00820","ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931","GATase_6,SIS",1,"Thorax","Solitarious-up",-1.03846610172701,1.03846610172701,NA,-1.03846610172701,NA,7.73058009620239e-08,"Solitarious-up","Thorax phase DEG only"
"LOC126354433",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.4708511002723,0.0351582770582609,17.9248235160783,"unannotated","Src homology 3 domains",NA,NA,NA,"SH3_1,SH3_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126323938",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",5.1945921506339,0.0352343102920141,21.6476263759871,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284044",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",3.69454615388492,0.0352343102920141,20.1475803792381,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126305900",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.97937550450486,0.0352990239373498,18.4316128077426,"CYP306A1","heme binding. It is involved in the biological process described with oxidation-reduction process","GO:0000003,GO:0001667,GO:0001700,GO:0002064,GO:0002065,GO:0002066,GO:0002165,GO:0003006,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006066,GO:0006629,GO:0006694,GO:0006697,GO:0006928,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0008150,GO:0008152,GO:0008202,GO:0008205,GO:0008395,GO:0008610,GO:0009058,GO:0009790,GO:0009791,GO:0009792,GO:0009888,GO:0009987,GO:0010631,GO:0010817,GO:0012505,GO:0016125,GO:0016126,GO:0016477,GO:0016491,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0030707,GO:0030855,GO:0032501,GO:0032502,GO:0032504,GO:0034754,GO:0035302,GO:0040011,GO:0042180,GO:0042181,GO:0042445,GO:0042446,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045455,GO:0045456,GO:0046165,GO:0048468,GO:0048477,GO:0048609,GO:0048856,GO:0048869,GO:0048870,GO:0051179,GO:0051674,GO:0051704,GO:0055114,GO:0060429,GO:0065007,GO:0065008,GO:0071704,GO:0090130,GO:0090132,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653","ko:K10720","ko00981,map00981","p450",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272926",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.62586636455027,0.0353342119148908,18.0776709551831,"unannotated","UDP-glucoronosyl and UDP-glucosyl transferase",NA,"ko:K00699","ko00040,ko00053,ko00140,ko00830,ko00860,ko00980,ko00982,ko00983,ko01100,ko01110,ko05204,map00040,map00053,map00140,map00830,map00860,map00980,map00982,map00983,map01100,map01110,map05204","UDPGT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281373",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",2.10765794573916,0.0354360654814673,18.5582124502032,"unannotated","Subtilase family",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126298679",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.30648349131925,0.035454049377847,17.7568176461014,"unannotated","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015291,GO:0015297,GO:0015318,GO:0015711,GO:0015807,GO:0015849,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098656,GO:1902475,GO:1903825,GO:1905039","ko:K13868","ko04974,map04974","AA_permease_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126318236",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",5.19508135533154,0.0359915437157798,21.6388808809246,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334873",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",2.41105852145058,0.0360996433472935,18.8535556102116,"unannotated","Larval serum protein",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272876",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",2.86508976290773,0.0361205581386522,19.3073353104505,"unannotated","Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.",NA,"ko:K19519",NA,"Fasciclin",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336468",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",2.75027765213884,0.0362281469742333,19.1912315311721,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336901",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.51699862606721,0.0364074734500588,17.9558080845892,"unannotated","FAR-17a/AIG1-like protein",NA,NA,NA,"Far-17a_AIG1",1,"Thorax","Solitarious-up",-1.6734200846022,1.6734200846022,NA,-1.6734200846022,NA,4.60271007509205e-07,"Solitarious-up","Thorax phase DEG only"
"LOC126278609",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",5.51662432540589,0.0364470408069352,21.9549620523785,"unannotated","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport",NA,"ko:K08145",NA,"Sugar_tr",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126353835",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.07327236289346,0.0365487382547533,17.5103999741702,"Ecr","ecdysteroid hormone receptor activity. It is involved in the biological process described with ecdysone receptor-mediated signaling pathway","GO:0000003,GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000981,GO:0000982,GO:0001012,GO:0001067,GO:0001077,GO:0001221,GO:0001223,GO:0001224,GO:0001225,GO:0001228,GO:0001655,GO:0001667,GO:0001700,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002165,GO:0002682,GO:0003002,GO:0003006,GO:0003008,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003707,GO:0004879,GO:0004884,GO:0005488,GO:0005496,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0005694,GO:0005700,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006810,GO:0006897,GO:0006909,GO:0006911,GO:0006914,GO:0006928,GO:0007154,GO:0007155,GO:0007165,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007292,GO:0007297,GO:0007298,GO:0007349,GO:0007389,GO:0007390,GO:0007399,GO:0007406,GO:0007417,GO:0007420,GO:0007422,GO:0007431,GO:0007435,GO:0007442,GO:0007443,GO:0007444,GO:0007468,GO:0007472,GO:0007476,GO:0007488,GO:0007507,GO:0007552,GO:0007560,GO:0007568,GO:0007591,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0007626,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008230,GO:0008231,GO:0008232,GO:0008258,GO:0008285,GO:0008289,GO:0008340,GO:0008345,GO:0008362,GO:0008544,GO:0009056,GO:0009058,GO:0009059,GO:0009410,GO:0009653,GO:0009719,GO:0009725,GO:0009755,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009952,GO:0009987,GO:0010002,GO:0010033,GO:0010243,GO:0010259,GO:0010324,GO:0010467,GO:0010468,GO:0010506,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010623,GO:0010628,GO:0010629,GO:0010631,GO:0010720,GO:0010721,GO:0010941,GO:0010942,GO:0012501,GO:0012502,GO:0014041,GO:0014042,GO:0014070,GO:0014706,GO:0016043,GO:0016070,GO:0016192,GO:0016319,GO:0016322,GO:0016358,GO:0016477,GO:0018130,GO:0018990,GO:0019219,GO:0019222,GO:0019438,GO:0019953,GO:0021700,GO:0022008,GO:0022404,GO:0022412,GO:0022414,GO:0022610,GO:0022612,GO:0023052,GO:0030030,GO:0030154,GO:0030182,GO:0030425,GO:0030518,GO:0030522,GO:0030537,GO:0030707,GO:0030855,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031329,GO:0032501,GO:0032502,GO:0032504,GO:0032774,GO:0032870,GO:0032934,GO:0032989,GO:0032990,GO:0032991,GO:0033993,GO:0034641,GO:0034645,GO:0034654,GO:0035051,GO:0035053,GO:0035054,GO:0035070,GO:0035071,GO:0035072,GO:0035073,GO:0035075,GO:0035076,GO:0035078,GO:0035081,GO:0035100,GO:0035107,GO:0035114,GO:0035120,GO:0035150,GO:0035180,GO:0035188,GO:0035193,GO:0035206,GO:0035210,GO:0035220,GO:0035239,GO:0035272,GO:0035295,GO:0035296,GO:0035297,GO:0035298,GO:0036094,GO:0036314,GO:0036315,GO:0036477,GO:0038023,GO:0040003,GO:0040008,GO:0040011,GO:0040034,GO:0042127,GO:0042220,GO:0042221,GO:0042303,GO:0042335,GO:0042461,GO:0042493,GO:0042551,GO:0042562,GO:0042592,GO:0042632,GO:0042749,GO:0042752,GO:0042753,GO:0042981,GO:0042995,GO:0043005,GO:0043065,GO:0043067,GO:0043068,GO:0043170,GO:0043178,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043235,GO:0043279,GO:0043401,GO:0043457,GO:0043467,GO:0043565,GO:0043900,GO:0043901,GO:0043903,GO:0044126,GO:0044130,GO:0044144,GO:0044146,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044798,GO:0045165,GO:0045187,GO:0045595,GO:0045596,GO:0045597,GO:0045664,GO:0045666,GO:0045892,GO:0045893,GO:0045926,GO:0045934,GO:0045935,GO:0045938,GO:0045944,GO:0046483,GO:0046530,GO:0046982,GO:0046983,GO:0048102,GO:0048232,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048515,GO:0048518,GO:0048519,GO:0048520,GO:0048522,GO:0048523,GO:0048545,GO:0048546,GO:0048563,GO:0048565,GO:0048569,GO:0048598,GO:0048609,GO:0048619,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048736,GO:0048737,GO:0048738,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048863,GO:0048869,GO:0048870,GO:0048878,GO:0050767,GO:0050768,GO:0050769,GO:0050789,GO:0050793,GO:0050794,GO:0050795,GO:0050877,GO:0050890,GO:0050896,GO:0051093,GO:0051094,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051252,GO:0051253,GO:0051254,GO:0051674,GO:0051704,GO:0051716,GO:0051960,GO:0051961,GO:0051962,GO:0055088,GO:0055092,GO:0055123,GO:0060033,GO:0060089,GO:0060255,GO:0060284,GO:0060322,GO:0060359,GO:0060429,GO:0060537,GO:0060562,GO:0060581,GO:0060911,GO:0061024,GO:0061326,GO:0061333,GO:0061525,GO:0061919,GO:0065007,GO:0065008,GO:0070491,GO:0070887,GO:0071310,GO:0071383,GO:0071390,GO:0071396,GO:0071407,GO:0071495,GO:0071684,GO:0071695,GO:0071704,GO:0071840,GO:0072001,GO:0072002,GO:0072091,GO:0072347,GO:0072359,GO:0080090,GO:0090066,GO:0090130,GO:0090132,GO:0090304,GO:0090575,GO:0097159,GO:0097305,GO:0097306,GO:0097447,GO:0097458,GO:0097659,GO:0098531,GO:0098657,GO:0099024,GO:0120025,GO:0120036,GO:0120038,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901654,GO:1901655,GO:1901698,GO:1901700,GO:1901701,GO:1902679,GO:1902680,GO:1902692,GO:1903429,GO:1903431,GO:1903506,GO:1903507,GO:1903508,GO:1904799,GO:1904801,GO:1990837,GO:2000026,GO:2000112,GO:2000113,GO:2000177,GO:2000178,GO:2000647,GO:2001141","ko:K14034","ko04214,map04214","Hormone_recep,zf-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278582",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",4.6312053152765,0.0365534962254663,21.0682763931123,"unannotated","Sugar (and other) transporter",NA,"ko:K08145",NA,"Sugar_tr",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
